prompt,seed,width,height,sampler,cfgs,steps,filename,negative_prompt,sd_model_name,sd_model_hash
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

((no background, white background: 1.3)),

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

face only, face closeup, portrait, front view, side view, looking at viewer, naked, nude, muscular, huge shoulders,


<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",2757626465,1216,1216,Euler a,7,30,00000-2757626465.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, flaccid penis,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

((no background, white background: 1.3)),

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

face only, face closeup, portrait, front view, side view, looking at viewer, naked, nude, muscular, huge shoulders,


<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",3321860106,1216,1216,Euler a,7,30,00001-3321860106.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, flaccid penis,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

((no background, white background: 1.3)),

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

face only, face closeup, portrait, front view, side view, looking at viewer, naked, nude, muscular, huge shoulders,


<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",3321860109,1216,1216,Euler a,7,30,00002-3321860109.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, flaccid penis,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

((no background, white background: 1.3)),

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

face only, face closeup, portrait, front view, side view, looking at viewer, naked, nude, muscular, huge shoulders,


<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",3321860111,1216,1216,Euler a,7,30,00003-3321860111.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, flaccid penis,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

((no background, white background: 1.3)),

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

face only, face closeup, portrait, front view, side view, looking at viewer, naked, nude, muscular, huge shoulders,


<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",3321860114,1216,1216,Euler a,7,30,00004-3321860114.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, flaccid penis,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

((no background, white background: 1.3)),

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

face only, face closeup, portrait, front view, side view, looking at viewer, naked, nude, muscular, huge shoulders,


<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",3321860115,1216,1216,Euler a,7,30,00005-3321860115.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, flaccid penis,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

indoors, farm bedroom, bed, window, curtain, golden hour,

solo, 1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, arrogant, smug, smirk,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles,

naked, nude, brown fur chest, brown fur torso,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis,

looking at each other, side view, full body,

BREAK,

1boy, ((human male: 2.8)), ((no tail male, tailless human male: 1.3)), pale male, shaggy brown hair human male, short hair human male, ((very short male)), tiny male, ((petite male: 1.5)), gigantic male penis, hyper long male penis, gigantic male testicles, very thick male penis, veiny male penis, tall futanari, size difference, larger futanari, height difference, futanari is bigger, futanari is taller, taller futanari , bigger futanari, height difference, futanari is bigger, futanari is taller, futanari with male, futanari and male, 1boy1girl, male excessive cum, cum everywhere, sweat, motion blur, motion lines, doggystyle, penetration, passionate sex, rough sex,male on futanari, male on futa, surprised male, nervous male, mini giantess,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",941826920,1232,1232,DPM++ 2M,7,30,00006-941826920.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

indoors, farm bedroom, bed, window, curtain, golden hour,

1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, ahegao futanari, mouth open futanari, long horse tongue futanari,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles,

naked, nude, brown fur chest, brown fur torso,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis,

looking at each other, side view,

BREAK,

1boy, ((human male: 2.8)), ((no tail male, tailless human male: 1.3)), pale male, shaggy brown hair human male, short hair human male, ((very short male)), tiny male, ((petite male: 1.5)), gigantic male penis, hyper long male penis, gigantic male testicles, very thick male penis, veiny male penis, tall futanari, size difference, larger futanari, height difference, futanari is bigger, futanari is taller, taller futanari, bigger futanari, height difference, futanari is bigger, futanari is taller, futanari with male, futanari and male, 1boy1girl, male excessive cum, cum everywhere, sweat, motion blur, motion lines, doggystyle, penetration, passionate sex, rough sex, male on futanari, male on futa, surprised male, nervous male,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",168356244,1848,1848,DPM++ 2M,7,30,00007-168356244.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

indoors, farm bedroom, bed, window, curtain, golden hour,

1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, ahegao horse futanari, mouth open horse futanari, long horse tongue futanari,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles,

naked, nude, brown fur chest, brown fur torso,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis,

looking at each other, side view,

BREAK,

1boy, ((human male: 2.8)), ((no tail male, tailless human male: 1.3)), pale male, shaggy brown hair human male, short hair human male, ((very short male)), tiny male, ((petite male: 1.5)), gigantic male penis, hyper long male penis, gigantic male testicles, very thick male penis, veiny male penis, tall futanari, size difference, larger futanari, height difference, futanari is bigger, futanari is taller, taller futanari, bigger futanari, height difference, futanari is bigger, futanari is taller, futanari with male, futanari and male, 1boy1girl, male excessive cum, cum everywhere, sweat, motion blur, motion lines, doggystyle, penetration, passionate sex, rough sex, male on futanari, male on futa, surprised male, nervous male, closed mouth male,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",3934029663,1232,1232,DPM++ 2M,7,30,00006-3934029663.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, outside border,white border,(thick outlines, thick contours),

indoors, farm bedroom, bed, window, curtain, golden hour,

1futa, ((horse girl: 1.4)), anthro, ((furry: 1.4)), furry futanari, long eyelashes, furry horse girl, brown eyes, horse ears, blonde horse tail, brown horse fur, horse face, blonde mane, braided ponytail mane, huge lips, full lips, thick lips, bolted on lips, bimbo lips, black lips, cute face, ((big eyes: 1.3)), makeup, black eyeshadow, ahegao horse futanari, mouth open horse futanari, long horse tongue futanari,

huge breasts, gigantic ass, bubble butt, skinny, tight waist, tiny waist, wide hips, ribs visible, muscular futanari, toned body, toned abs, ((gigantic muscles: 1.1)), gigantic biceps, gigantic delts, gigantic arms, gigantic legs, gigantic shoulders, very muscular, muscle definition, very large muscles, hyper muscles,

naked, nude, brown fur chest, brown fur torso,

gigantic futanari penis, hyper long futanari penis, gigantic futanari testicles, very thick futanari penis, veiny futanari penis, equine futanari penis, futanari horse penis, pink and black futanari horse penis,

looking at each other, side view,

BREAK,

1boy, ((human male: 2.8)), ((no tail male, tailless human male: 1.3)), pale male, shaggy brown hair human male, short hair human male, ((very short male)), tiny male, ((petite male: 1.5)), gigantic male penis, hyper long male penis, gigantic male testicles, very thick male penis, veiny male penis, tall futanari, size difference, larger futanari, height difference, futanari is bigger, futanari is taller, taller futanari, bigger futanari, height difference, futanari is bigger, futanari is taller, futanari with male, futanari and male, 1boy1girl, male excessive cum, cum everywhere, sweat, motion blur, motion lines, doggystyle, penetration, passionate sex, rough sex, male on futanari, male on futa, surprised male, nervous male,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>, <lora:Bolted_On_Lips_v4:.4>, <lora:ATRex_style:.6>, <lora:Libidos_Style__IllustriousPony:.3>,",1587600010,1848,1848,DPM++ 2M,7,30,00007-1587600010.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring,",prefectIllustriousXL_40,462cf8610a
